,Date,Smoothed Positive,Smoothed Negative,Smoothed Total,Percentage Positive,Percentage Negative,Average Sentiment,Smoothed Cases,Smoothed New Cases,Cases Ratio,Smoothed Deaths,Smoothed New Deaths,Mobility,Google Trends
28,Feb 22 2020,266.8,134.4,713.0,0.3741935483870968,0.18849929873772792,0.08416848928792102,78034.8,778.4,1.0167189132706373,2411.8,101.4,142.90669827105407,5
29,Feb 23 2020,329.8,165.0,838.2,0.3934621808637557,0.19685039370078738,0.08319108689054762,78871.8,837.0,1.0752826310380268,2504.2,92.4,111.66174567763525,6
30,Feb 24 2020,426.8,202.8,1048.8,0.4069412662090008,0.1933638443935927,0.04673482587830306,79778.4,906.6,1.0831541218637992,2608.0,103.8,108.03497211377581,10
31,Feb 25 2020,583.4,263.4,1385.0,0.42122743682310465,0.19018050541516243,0.07177165387591741,80605.6,827.2,0.9124200308846239,2679.0,71.0,109.07312325711098,15
32,Feb 26 2020,690.8,309.0,1678.4,0.411582459485224,0.18410390848427072,0.08236593336011071,81632.6,1027.0,1.2415377176015474,2759.6,80.6,110.14999721137758,24
33,Feb 27 2020,758.2,340.4,1835.6,0.4130529527130094,0.18544345173240356,0.08132943224249381,82925.8,1293.2,1.2592015579357352,2822.0,62.4,117.09303680981596,24
34,Feb 28 2020,784.4,350.6,1901.6,0.41249474127050906,0.1843710559528818,0.08194423330531468,84523.8,1598.0,1.2356944014846891,2879.2,57.2,140.87405465699945,20
35,Feb 29 2020,759.4,357.2,1934.4,0.39257650951199335,0.184656741108354,0.052551990728676265,86321.2,1797.4,1.1247809762202754,2942.0,62.8,140.78012548800893,16
36,Mar 01 2020,648.0,342.6,1716.4,0.37753437427173153,0.19960382195292473,0.07041258617225753,88361.4,2040.2,1.135084010237009,3011.2,69.2,110.49760457334077,14
37,Mar 02 2020,621.0,363.4,1690.0,0.36745562130177517,0.21502958579881656,0.05028568175644184,90586.0,2224.6,1.0903832957553181,3087.6,76.4,107.8043056330173,16
38,Mar 03 2020,687.2,372.0,1840.8,0.37331594958713604,0.20208604954367668,0.050329281757176166,92989.8,2403.8,1.0805538074260543,3168.8,81.2,110.6341996653653,15
39,Mar 04 2020,743.8,393.0,2035.0,0.3655036855036855,0.1931203931203931,0.04069089496428272,95706.8,2717.0,1.1302937016390713,3261.6,92.8,111.3675683212493,16
40,Mar 05 2020,705.4,381.4,1913.4,0.3686631127835267,0.19933103376188982,0.05914324547370403,98836.6,3129.8,1.1519322782480679,3356.4,94.8,119.0820384829894,17
41,Mar 06 2020,750.6,392.4,2061.8,0.364050829372393,0.19031913861674263,0.060211260872816974,102241.0,3404.4,1.087737235606109,3485.0,128.6,143.25746235359733,14
42,Mar 07 2020,721.6,368.8,1971.2,0.36607142857142855,0.18709415584415584,0.04709067830117082,105965.6,3724.6,1.0940547526730113,3631.4,146.4,143.57832682654768,12
