,Date,Positive,Negative,Total,Percentage Positive,Percentage Negative,Average Sentiment,Cases,New Cases,Cases Ratio,Deaths,New Deaths,Mobility,Google Trends
17,Feb 13 2020,1,6,7,0.14285714285714285,0.8571428571428571,-0.12390873015873015,60381,15153,36.251196172248804,1371,253,116.26727551589514,0
18,Feb 14 2020,4,2,6,0.6666666666666666,0.3333333333333333,0.11078703703703702,66908,6527,0.4307397875008249,1523,152,146.57079475738985,0
19,Feb 15 2020,10,17,28,0.35714285714285715,0.6071428571428571,0.04575219671201813,69050,2142,0.32817527194729584,1666,143,141.82464584495258,0
20,Feb 16 2020,2,0,2,1.0,0.0,0.14791666666666667,71234,2184,1.0196078431372548,1770,104,112.99643892916899,0
21,Feb 17 2020,2,1,3,0.6666666666666666,0.3333333333333333,-0.015476190476190496,73269,2035,0.9317765567765568,1868,98,117.11912994980479,0
22,Feb 18 2020,2,0,2,1.0,0.0,0.11166666666666668,75151,1882,0.9248157248157248,2008,140,110.81394032348021,0
23,Feb 19 2020,2,1,3,0.6666666666666666,0.3333333333333333,0.0488095238095238,75651,500,0.26567481402763016,2123,115,111.87589514779698,0
24,Feb 20 2020,2,2,4,0.5,0.5,0.027480158730158723,76211,560,1.12,2248,125,116.79218070273285,0
25,Feb 21 2020,4,2,6,0.6666666666666666,0.3333333333333333,0.06168530543530543,76840,629,1.1232142857142857,2252,4,141.21081985499163,0
26,Feb 22 2020,12,0,12,1.0,0.0,0.10004649671316339,78601,1761,2.7996820349761524,2459,207,142.90669827105407,0
27,Feb 23 2020,14,1,15,0.9333333333333333,0.06666666666666667,0.07603138528138528,78979,378,0.21465076660988075,2470,11,111.66174567763525,0
28,Feb 24 2020,11,3,14,0.7857142857142857,0.21428571428571427,0.09533807462378889,79543,564,1.492063492063492,2630,160,108.03497211377581,0
29,Feb 25 2020,17,2,19,0.8947368421052632,0.10526315789473684,0.14717124250018984,80396,853,1.5124113475177305,2710,80,109.07312325711098,0
30,Feb 26 2020,26,5,31,0.8387096774193549,0.16129032258064516,0.11817448680351905,81373,977,1.145369284876905,2771,61,110.14999721137758,0
31,Feb 27 2020,41,9,50,0.82,0.18,0.05411109307359305,82737,1364,1.3961105424769704,2814,43,117.09303680981596,0
32,Feb 28 2020,51,13,67,0.7611940298507462,0.19402985074626866,0.06527576057560064,84114,1377,1.0095307917888563,2873,59,140.87405465699945,0
33,Feb 29 2020,26,12,41,0.6341463414634146,0.2926829268292683,0.07752688255737035,86009,1895,1.3761801016702977,2942,69,140.78012548800893,0
34,Mar 01 2020,30,3,35,0.8571428571428571,0.08571428571428572,0.14916836734693878,88386,2377,1.254353562005277,2996,54,110.49760457334077,0
35,Mar 02 2020,28,9,37,0.7567567567567568,0.24324324324324326,0.050219224906724924,90360,1974,0.8304585612116113,3085,89,107.8043056330173,1
36,Mar 03 2020,63,10,75,0.84,0.13333333333333333,0.11218781064614397,92938,2578,1.3059777102330294,3160,75,110.6341996653653,1
37,Mar 04 2020,90,16,108,0.8333333333333334,0.14814814814814814,0.060027239992517745,95237,2299,0.8917765709852599,3255,95,111.3675683212493,1
38,Mar 05 2020,96,35,139,0.6906474820143885,0.2517985611510791,0.04383460547579251,98028,2791,1.2140060896041758,3348,93,119.0820384829894,1
39,Mar 06 2020,168,40,218,0.7706422018348624,0.1834862385321101,0.07729130663763695,101971,3943,1.4127552848441418,3460,112,143.25746235359733,1
40,Mar 07 2020,95,33,134,0.7089552238805971,0.2462686567164179,0.06765025415978239,106009,4038,1.0240933299518133,3559,99,143.57832682654768,2
41,Mar 08 2020,212,52,274,0.7737226277372263,0.1897810218978102,0.09422159177115523,109960,3951,0.9784546805349182,3803,244,112.70258505298382,2
42,Mar 09 2020,223,58,290,0.7689655172413793,0.2,0.08674235800859885,113860,3900,0.9870918754745635,3987,184,110.61214166201897,4
43,Mar 10 2020,361,194,580,0.6224137931034482,0.33448275862068966,0.00887856963666691,118884,5024,1.2882051282051281,4266,279,111.50944506413832,4
44,Mar 11 2020,658,228,947,0.6948257655755016,0.24076029567053855,0.06118915448220386,126547,7663,1.5252786624203822,4611,345,111.85728667038482,8
45,Mar 12 2020,782,258,1139,0.6865671641791045,0.22651448639157157,0.07895997742167098,132297,5750,0.7503588672843534,4916,305,110.86670942554379,18
46,Mar 13 2020,1372,428,1930,0.7108808290155441,0.22176165803108808,0.08414392690534288,146704,14407,2.5055652173913043,5413,497,123.49724762967094,25
47,Mar 14 2020,1828,591,2629,0.695321414986687,0.22480030429821224,0.08827295288591297,157795,11091,0.7698341084195183,5830,417,114.09296430563302,34
48,Mar 15 2020,4273,1252,6021,0.7096827769473509,0.20793888058462048,0.0946150111530415,168941,11146,1.0049589757461004,6471,641,89.58913273842722,58
49,Mar 16 2020,4215,1200,5987,0.7040253883414064,0.2004342742608986,0.0958601809754063,183600,14659,1.3151803337520187,7151,680,89.29708031232572,68
50,Mar 17 2020,3714,1120,5387,0.6894375348060144,0.20790792648969741,0.08867359750057259,199444,15844,1.0808377106214613,7955,804,83.8888455103179,69
51,Mar 18 2020,3748,1131,5523,0.6786166938258194,0.20478001086366104,0.09067457320813514,219037,19593,1.2366195405200706,8852,897,80.92291411042946,71
52,Mar 19 2020,3763,1125,5550,0.678018018018018,0.20270270270270271,0.08981503838042446,246955,27918,1.4248966467615984,9958,1106,79.68381483547127,77
53,Mar 20 2020,4069,1201,5910,0.6884940778341794,0.20321489001692047,0.09645030285259455,276564,29609,1.0605702414213052,11436,1478,85.23913273842723,85
54,Mar 21 2020,4433,1419,6638,0.6678216330219946,0.2137692075926484,0.08310747884581361,308842,32278,1.0901415110270525,13142,1706,74.58430842163972,86
55,Mar 22 2020,4683,1644,7192,0.6511401557285873,0.228587319243604,0.07517036519181598,342255,33413,1.0351632690996964,14840,1698,59.05492749581707,93
56,Mar 23 2020,5063,1575,7563,0.6694433425889197,0.20825069416898057,0.08413401613669819,384420,42165,1.2619339777930745,16757,1917,64.24523982152816,84
57,Mar 24 2020,4589,1336,6636,0.6915310427968656,0.20132610006027726,0.08816880169333328,425559,41139,0.975667022411953,19027,2270,63.48145008365868,73
58,Mar 25 2020,4943,1222,6919,0.7144095967625379,0.17661511779158837,0.09706715429712338,476376,50817,1.2352512214686793,21804,2777,64.11482989403235,68
59,Mar 26 2020,4424,1198,6275,0.7050199203187251,0.19091633466135458,0.09060751767821089,539336,62960,1.2389554676584607,24811,3007,65.25846346904629,69
60,Mar 27 2020,4491,1344,6480,0.6930555555555555,0.2074074074074074,0.09127794998623263,603736,64400,1.02287166454892,28329,3518,69.96724205242612,67
61,Mar 28 2020,3638,1113,5316,0.6843491346877352,0.20936794582392776,0.09951121010950442,671344,67608,1.0498136645962732,32008,3679,61.78718906860011,68
62,Mar 29 2020,3490,1020,5108,0.6832419733750978,0.19968676585747847,0.08945586554773335,730921,59577,0.8812122825701101,35481,3473,53.197847183491355,81
63,Mar 30 2020,4636,1246,6670,0.6950524737631184,0.18680659670164917,0.09301255630030072,795560,64639,1.084965674673112,39645,4164,60.49800892359175,100
64,Mar 31 2020,4127,1128,5923,0.6967752827958804,0.19044403174067195,0.09503538075826964,871976,76416,1.1821965067528892,44489,4844,60.377838817624095,74
65,Apr 01 2020,4046,1201,5908,0.6848341232227488,0.20328368314150305,0.09806393555879993,948197,76221,0.9974481783919598,50043,5554,61.89360290016732,72
66,Apr 02 2020,3487,873,4922,0.7084518488419341,0.1773669240146282,0.11198949399664912,1029598,81401,1.067960273415463,56348,6305,62.44883993307307,63
67,Apr 03 2020,3752,1040,5358,0.700261291526689,0.1941022769690183,0.11210820891588744,1112752,83154,1.0215353619734402,62333,5985,66.2353123257111,63
68,Apr 04 2020,3590,1053,5237,0.6855069696391064,0.20106931449303037,0.11550834539492849,1193128,80376,0.9665921062125694,68174,5841,58.86787785833798,59
69,Apr 05 2020,3719,1088,5417,0.6865423666235924,0.20084917851209155,0.10113202937623485,1264846,71718,0.8922812779934308,73195,5021,51.23443390964863,57
70,Apr 06 2020,4009,1074,5706,0.7025937609533824,0.1882229232386961,0.11856972480334622,1337518,72672,1.0133020998912408,79027,5832,61.0577300613497,59
71,Apr 07 2020,3819,1033,5475,0.6975342465753425,0.188675799086758,0.10005683215145965,1414391,76873,1.0578076838397181,86929,7902,62.72799498047964,55
72,Apr 08 2020,4062,1074,5701,0.7125065777933696,0.18838800210489387,0.09875374996863624,1498166,83775,1.0897844496767395,93664,6735,64.01011991076408,56
73,Apr 09 2020,3489,1061,5049,0.691027926322044,0.21014062190532778,0.10688078252417445,1584791,86625,1.0340196956132497,101293,7629,64.50185164528722,61
74,Apr 10 2020,4499,1140,6200,0.7256451612903225,0.18387096774193548,0.1302860435617975,1672449,87658,1.011924963924964,108565,7272,68.67620747350809,55
75,Apr 11 2020,3534,961,5027,0.7030037795902129,0.19116769444997017,0.12105820861222903,1749169,76720,0.875219603458897,114634,6069,61.94583379810374,53
76,Apr 12 2020,4027,959,5439,0.740393454679169,0.17631917631917632,0.13790011907913388,1845951,96782,1.2614963503649634,120365,5731,43.601793084216396,50
77,Apr 13 2020,4035,1105,5669,0.7117657435173752,0.1949197389310284,0.08950945871592286,1915545,69594,0.7190799942138001,126112,5747,60.70288901282766,55
78,Apr 14 2020,4282,1075,5863,0.7303428279038036,0.18335323213371993,0.08942397481009044,1985472,69927,1.0047848952495906,133011,6899,65.05501952035694,60
79,Apr 15 2020,4348,990,5819,0.7472074239560061,0.17013232514177692,0.09226766073517163,2066301,80829,1.1559054442490024,141323,8312,68.22344394868935,92
80,Apr 16 2020,4110,1134,5744,0.7155292479108635,0.1974233983286908,0.08825303950646263,2163013,96712,1.196501255737421,148606,7283,70.05109313998885,61
81,Apr 17 2020,3810,1271,5635,0.676131322094055,0.22555456965394854,0.07888515548382495,2250737,87724,0.9070642733063116,157497,8891,75.8318878973787,51
82,Apr 18 2020,3593,1194,5193,0.691892932794146,0.22992489890236859,0.06857686434404588,2324265,73528,0.8381742738589212,163968,6471,71.51504740658115,42
83,Apr 19 2020,3622,1192,5325,0.68018779342723,0.22384976525821595,0.0736278734899616,2404790,80525,1.0951610270917203,168538,4570,59.401201896263245,44
84,Apr 20 2020,3847,1287,5636,0.6825762952448545,0.22835344215755854,0.07735527242127953,2478129,73339,0.9107606333436821,173981,5443,70.92477691020635,44
85,Apr 21 2020,3426,1019,4903,0.6987558637568836,0.2078319396287987,0.08346078472680026,2553379,75250,1.026057077407655,181138,7157,71.7757585052984,44
