,Date,Positive,Negative,Total,Percentage Positive,Percentage Negative,Average Sentiment,Cases,New Cases,Cases Ratio,Deaths,New Deaths,Mobility,Google Trends
85,Apr 19 2020,2175,936,4883,0.4454228957608028,0.19168543927913168,0.07715345615120879,2404790,80525,1.0951610270917203,168538,4570,59.401201896263245,40
86,Apr 20 2020,2061,918,4499,0.4581018004000889,0.20404534340964658,0.07724079811677843,2478129,73339,0.9107606333436821,173981,5443,70.92477691020635,36
87,Apr 21 2020,2285,859,4900,0.4663265306122449,0.17530612244897958,0.09639892156594333,2553379,75250,1.026057077407655,181138,7157,71.7757585052984,36
88,Apr 22 2020,2155,811,4764,0.4523509655751469,0.1702350965575147,0.09258640484018514,2630185,76806,1.0206777408637875,187893,6755,72.86317902955939,37
89,Apr 23 2020,2840,1125,6040,0.47019867549668876,0.18625827814569537,0.09091952394851589,2719198,89013,1.1589328958675102,194743,6850,73.53569157836029,41
90,Apr 24 2020,1984,799,4398,0.45111414279217826,0.18167348794906776,0.08901225483525593,2806138,86940,0.9767112668935998,201417,6674,83.04782208588956,38
91,Apr 25 2020,2044,867,4557,0.4485407066052227,0.1902567478604345,0.08014681349874553,2890259,84121,0.9675753393144697,206995,5578,78.36470161740101,37
92,Apr 26 2020,2258,927,4870,0.4636550308008214,0.19034907597535936,0.08999080451790804,2963206,72947,0.867167532482971,210878,3883,66.6395398773006,34
93,Apr 27 2020,2418,944,5099,0.474210629535203,0.18513434006667975,0.09169365443470147,3031910,68704,0.9418344825695368,215527,4649,75.72440881204685,35
94,Apr 28 2020,3396,1992,8603,0.3947460188306405,0.23154713472044636,0.049063900415895395,3107209,75299,1.095991499767117,221990,6463,77.12466815393194,42
95,Apr 29 2020,3796,2309,9695,0.39154203197524495,0.23816400206291902,0.041421523013159246,3184255,77046,1.0232008393205754,228758,6768,78.18877579475739,41
96,Apr 30 2020,2940,1473,6807,0.43190832966064346,0.21639488761568973,0.06864221766505872,3267936,83681,1.0861173844196974,234720,5962,83.45174288901283,43
97,May 01 2020,2641,1111,5801,0.4552663333907947,0.19151870367178073,0.07643907196402813,3354984,87048,1.040236134845425,239897,5177,94.91405744562186,48
98,May 02 2020,2170,1180,4866,0.4459515002055076,0.2424989724619811,0.06741813139343855,3435571,80587,0.9257765830346476,245222,5325,92.44659230340211,41
99,May 03 2020,2769,1382,6131,0.4516392105692383,0.22541184146142554,0.06871203937019328,3513207,77636,0.9633811905145991,248675,3453,78.66387618516454,38
100,May 04 2020,3366,1645,7761,0.43370699652106687,0.21195722200747327,0.06354318418073882,3589284,76077,0.9799191096913803,252803,4128,85.16363636363636,37
101,May 05 2020,3063,1554,7238,0.4231831997789445,0.21470019342359767,0.059344449752030876,3669273,79989,1.0514215860246856,258674,5871,85.63278304517567,37
102,May 06 2020,2391,1225,5623,0.42521785523741773,0.21785523741774854,0.060769447344012746,3759295,90022,1.1254297465901562,265343,6669,88.91844116006692,36
103,May 07 2020,1694,896,3923,0.43181238847820547,0.22839663522814171,0.0613220348232783,3848381,89086,0.989602541600942,270752,5409,93.82040156162856,34
104,May 08 2020,1987,884,4038,0.49207528479445267,0.21892025755324418,0.08094396338218454,3939898,91517,1.0272882383314998,276320,5568,103.1731372002231,35
105,May 09 2020,1730,844,3690,0.46883468834688347,0.22872628726287264,0.07506864563502502,4023533,83635,0.913873925063103,280585,4265,101.69872002230898,37
106,May 10 2020,2240,1219,4859,0.4610002058036633,0.25087466556904714,0.05586263176750211,4099779,76246,0.9116518204101154,284151,3566,80.27827105409928,31
107,May 11 2020,3913,1894,8572,0.45648623425104995,0.22095193653756418,0.06312778953790094,4176020,76241,0.9999344227893923,287624,3473,,42
108,May 12 2020,3116,1579,7003,0.44495216335856064,0.22547479651577895,0.0625002817201489,4259619,83599,1.0965097519707243,293171,5547,,40
109,May 13 2020,3018,1602,6799,0.4438888071775261,0.23562288571848802,0.060344330071600484,4344371,84752,1.0137920310051556,298399,5228,98.00250697155604,40
110,May 14 2020,3828,1874,8527,0.4489269379617685,0.219772487392987,0.07011871635838154,4441476,97105,1.1457546724561072,303667,5268,103.18351366424986,38
111,May 15 2020,3705,1911,8331,0.44472452286640257,0.22938422758372345,0.06563584050488883,4537825,96349,0.9922146130477318,308882,5215,117.93519241494701,37
112,May 16 2020,3420,1893,7542,0.45346062052505964,0.25099443118536197,0.06228235335248085,4629638,91813,0.9529211512314606,313053,4171,114.98875627440046,34
113,May 17 2020,8782,3974,21991,0.399345186667273,0.1807102905734164,0.04083511219862851,4708147,78509,0.8550967727881672,316382,3329,96.44832682654767,32
