,Date,Smoothed Positive,Smoothed Negative,Smoothed Total,Percentage Positive,Percentage Negative,Average Sentiment,Smoothed Cases,Smoothed New Cases,Cases Ratio,Smoothed Deaths,Smoothed New Deaths,Mobility,Google Trends
36,Mar 03 2020,61.4,14.6,78.8,0.7791878172588833,0.18527918781725888,0.11218781064614397,92989.8,2403.8,1.0805538074260543,3168.8,81.2,110.6341996653653,1
37,Mar 04 2020,89.0,22.0,115.4,0.7712305025996533,0.19064124783362218,0.060027239992517745,95706.8,2717.0,1.1302937016390713,3261.6,92.8,111.3675683212493,1
38,Mar 05 2020,102.4,26.8,134.8,0.7596439169139466,0.19881305637982194,0.04383460547579251,98836.6,3129.8,1.1519322782480679,3356.4,94.8,119.0820384829894,1
39,Mar 06 2020,132.2,35.2,174.6,0.7571592210767468,0.20160366552119133,0.07729130663763695,102241.0,3404.4,1.087737235606109,3485.0,128.6,143.25746235359733,1
40,Mar 07 2020,158.8,43.6,211.0,0.75260663507109,0.2066350710900474,0.06765025415978239,105965.6,3724.6,1.0940547526730113,3631.4,146.4,143.57832682654768,2
41,Mar 08 2020,211.8,75.4,299.2,0.7078877005347595,0.2520053475935829,0.09422159177115523,110136.8,4171.2,1.1199054932073242,3815.0,183.6,112.70258505298382,2
42,Mar 09 2020,309.8,113.0,445.0,0.6961797752808989,0.2539325842696629,0.08674235800859885,115052.0,4915.2,1.1783659378596087,4045.2,230.2,110.61214166201897,4
43,Mar 10 2020,447.2,158.0,646.0,0.6922600619195046,0.24458204334365324,0.00887856963666691,120309.6,5257.6,1.0696614583333335,4316.6,271.4,111.50944506413832,4
44,Mar 11 2020,679.2,233.2,977.2,0.695047073270569,0.2386410151453131,0.06118915448220386,127658.4,7348.8,1.397748021911138,4638.6,322.0,111.85728667038482,8
45,Mar 12 2020,1000.2,339.8,1445.0,0.6921799307958478,0.23515570934256055,0.07895997742167098,136445.4,8787.0,1.1957054212932723,5007.2,368.6,110.86670942554379,18
46,Mar 13 2020,1782.6,551.4,2533.2,0.7036949313121743,0.21766935101847465,0.08414392690534288,146456.8,10011.4,1.1393422100830772,5448.2,441.0,123.49724762967094,25
47,Mar 14 2020,2494.0,745.8,3541.2,0.7042810346775105,0.2106065740426974,0.08827295288591297,157867.4,11410.6,1.1397606728329706,5956.2,508.0,114.09296430563302,34
48,Mar 15 2020,3080.4,918.2,4390.8,0.7015578026783275,0.20911906714038445,0.0946150111530415,171296.8,13429.4,1.1769232117504775,6564.0,607.8,89.58913273842722,58
49,Mar 16 2020,3555.6,1058.8,5109.4,0.6958938427212589,0.20722589736563982,0.0958601809754063,185763.4,14466.6,1.0772335323990647,7251.8,687.8,89.29708031232572,68
50,Mar 17 2020,3942.6,1165.6,5693.6,0.6924617113952507,0.20472109034705632,0.08867359750057259,203595.4,17832.0,1.2326324084442786,8077.4,825.6,83.8888455103179,69
51,Mar 18 2020,3901.8,1155.4,5671.4,0.6879782769686498,0.20372394823147727,0.09067457320813514,225120.0,21524.6,1.207077164647824,9070.4,993.0,80.92291411042946,71
52,Mar 19 2020,3945.4,1199.2,5801.6,0.6800537782680639,0.2067015995587424,0.08981503838042446,250168.4,25048.4,1.163710359309813,10268.6,1198.2,79.68381483547127,77
53,Mar 20 2020,4139.2,1304.0,6162.6,0.6716645571674292,0.21159900042189983,0.09645030285259455,278730.6,28562.2,1.1402804171124703,11645.6,1377.0,85.23913273842723,85
54,Mar 21 2020,4402.2,1392.8,6570.6,0.6699844763035339,0.21197455331324383,0.08310747884581361,311807.2,33076.6,1.1580550517817254,13226.6,1581.0,74.58430842163972,86
55,Mar 22 2020,4567.4,1435.0,6787.8,0.672883703114411,0.21140870385102684,0.07517036519181598,347528.0,35720.8,1.0799417110585732,15040.4,1813.8,59.05492749581707,93
56,Mar 23 2020,4742.2,1439.2,6989.6,0.6784651482202129,0.20590591736293923,0.08413401613669819,387490.4,39962.4,1.1187431412510358,17114.0,2073.6,64.24523982152816,84
