,Date,Positive,Negative,Total,Percentage Positive,Percentage Negative,Average Sentiment,Cases,New Cases,Cases Ratio,Deaths,New Deaths,Mobility,Google Trends
32,Feb 26 2020,1370,889,3793,0.3611916688636963,0.23437911943052991,0.02481694561847358,81373,977,1.145369284876905,2771,61,110.14999721137758,6
33,Feb 27 2020,1237,843,3473,0.3561762165274978,0.24272962856320185,0.02512008601585315,82737,1364,1.3961105424769704,2814,43,117.09303680981596,6
34,Feb 28 2020,1453,805,3824,0.3799686192468619,0.21051255230125523,0.04808673373083897,84114,1377,1.0095307917888563,2873,59,140.87405465699945,6
35,Feb 29 2020,1263,767,3513,0.3595217762596072,0.2183319100483917,0.0396428277991177,86009,1895,1.3761801016702977,2942,69,140.78012548800893,6
36,Mar 01 2020,751,348,1880,0.399468085106383,0.1851063829787234,0.05728634392306678,88386,2377,1.254353562005277,2996,54,110.49760457334077,5
37,Mar 02 2020,1046,630,2807,0.3726398289989312,0.22443890274314215,0.02919095920168958,90360,1974,0.8304585612116113,3085,89,107.8043056330173,6
38,Mar 03 2020,728,483,2326,0.3129836629406707,0.20765262252794497,0.02927229873131937,92938,2578,1.3059777102330294,3160,75,110.6341996653653,8
39,Mar 04 2020,1163,638,3202,0.363210493441599,0.19925046845721425,0.03695167572073341,95237,2299,0.8917765709852599,3255,95,111.3675683212493,8
40,Mar 05 2020,1469,838,3830,0.3835509138381201,0.218798955613577,0.0348958300578114,98028,2791,1.2140060896041758,3348,93,119.0820384829894,10
41,Mar 06 2020,1866,928,4800,0.38875,0.19333333333333333,0.04485803576096599,101971,3943,1.4127552848441418,3460,112,143.25746235359733,10
42,Mar 07 2020,961,481,2410,0.39875518672199173,0.1995850622406639,0.05259036414609422,106009,4038,1.0240933299518133,3559,99,143.57832682654768,10
43,Mar 08 2020,3134,2560,9858,0.3179143842564415,0.25968756340028404,0.02496549006993263,109960,3951,0.9784546805349182,3803,244,112.70258505298382,15
44,Mar 09 2020,3126,1619,7976,0.39192577733199596,0.2029839518555667,0.05217298328415334,113860,3900,0.9870918754745635,3987,184,110.61214166201897,18
45,Mar 10 2020,3049,1350,7615,0.4003939592908733,0.17728168089297439,0.058345742555538135,118884,5024,1.2882051282051281,4266,279,111.50944506413832,20
46,Mar 11 2020,1908,1215,5073,0.37610881135422825,0.23950325251330573,0.03910284512670825,126547,7663,1.5252786624203822,4611,345,111.85728667038482,20
